Data;Nr.;Intrebare;Varianta;Raspuns
"17 Sep 2011  08:51:53";1;"Considerati ca diagnosticul bolii oncologice si iminenta mortii bolnavului sunt subiecte evitate in societatea romaneasca actuala? ";"In putine cazuri";
"17 Sep 2011  08:51:53";2;"Cui ati comunica un astfel de diagnostic?";Familiei;
"17 Sep 2011  08:51:53";3;"Ati evitat sa comunicati diagnosticul de boala oncologica si/sau moarte iminenta pacientului? Daca da, in ce circumstante?";Uneori;
"17 Sep 2011  08:51:53";4;"Care credeti ca sunt trasaturile esentiale care definesc demnitatea unui pacient?";;"nu stiu."
"17 Sep 2011  08:51:53";5;"Cum reactioneaza pacientii la aflarea diagnosticului si/sau prognosticului de stare terminala?";;"Sunt situatii diferite: unii refuza sa accepte adevarul si cauta si o a doua. a treia opinie, iar altii se resemneaza in fata bolii."
"17 Sep 2011  08:51:53";6;"Cum reactioneaza membrii familiilor pacientilor carora li se comunica un diagnostic si/sau prognostic de stare terminala?";;"Uneori mai rau decat pacientul."
"17 Sep 2011  08:51:53";7;"Cum face fata grupul familial, atunci cand unul din membrii lui are nevoie de ingrijire continua in faza terminala a bolii oncologice?";;"Greu si din punct de vedere financiar si din punct de vedere psihic."
"17 Sep 2011  08:51:53";8;"Considerati ca pacientului trebuie sa i se comunice toate detaliile legate de diagnosticul si prognosticul bolii sale? Va rugam sa motivati raspunsul.";Da;
"17 Sep 2011  08:51:53";9;"Ce tratamente ati aplica unui pacient aflat in stare terminala?";"Tratamentul bolii de baza, eventual doze mari de citostatice si/sau interventie chirurgicala, sperand in prelungirea vietii bolnavului, indiferent de calitatea vietii";
"17 Sep 2011  08:51:53";10;"Care sunt diferentele dintre un pacient aflat in stare terminala si unul cu posibilitati terapeutice?";;"nu stiu"
"17 Sep 2011  08:51:53";11;"Posibilitatea de evolutie nefavorabila, uneori spre deces, a afectiunilor oncologice contribuie la pregatirea bolnavului suferind si a apartinatorilor acestuia pentru sfarsitul inevitabil? Va rugam sa motivati raspunsul.";Da;
"17 Sep 2011  08:51:53";12;"Care sunt cele mai suparatoare simptome cu care se confrunta un pacient aflat in stare terminala? Enumerati minim 5 in ordinea crescatoare a intesitatii pe care le-o atribuiti.";;"durere, pareze, tulburari digestive, cefalee, astenie"
"17 Sep 2011  08:51:53";13;"Care credeti ca sunt cei mai importanti 5 factori care influenteaza demnitatea unui pacient aflat in stare terminala, in ordinea crescatoare a importantei pe care le-o acordati?";;"nu stiu"
"17 Sep 2011  08:51:53";14;"Credinta religioasa contribuie la confortul psihic al bolnavilor?";Da;
"17 Sep 2011  08:51:53";15;"Prezenta serviciilor paliative in Romania de aproape de 20 de ani se reflecta in cunoasterea acestor servicii de catre populatie?";Nu;
"17 Sep 2011  08:51:53";16;"Ce inseamna pentru dvs. paliatia/medicina paliativa?";;"ameliorarea simptomelor in faza terminala"
"17 Sep 2011  08:51:53";17;"Care sunt specialistii de care ar avea nevoie un pacient aflat in stare terminala pentru a primi cele mai potrivite ingrijiri?";;"oncolog, psiholog, teolog."
"17 Sep 2011  08:51:53";18;"Ati avut in ingrijire pacienti aflati in stare terminala?";Niciodata;
"17 Sep 2011  08:51:53";19;"Enumerati minim 5 probleme cu care credeti ca se confrunta pacientul aflat in stare terminala in ordinea crescatoare a frecventei sau importantei acestora?";;"durere, pareze, tulburari digestive, cefalee, astenie"
"17 Sep 2011  08:51:53";20;"Care sunt cele mai frecvente greseli pe care le face un medic in abordarea pacientul aflat in stare terminala?";;"Nu stiu."
"17 Sep 2011  08:51:53";21;"Considerati ca exista diferente intre starea terminala si faza terminala? Daca  da, care sunt acestea?";;"Nu stiu."
"17 Sep 2011  08:51:53";22;"Considerati ca medicul poate respecta nevoile pacientului aflat in stare terminala in contextul actual? Mentionati punctele tari si punctele slabe ale activitatii sale.";;Nu.
"17 Sep 2011  08:51:53";23;"Considerati ca sistemul de sanatate din Romania poate respecta nevoile pacientului aflat in stare terminala in contextul actual? Mentionati punctele tari si punctele slabe ale acestuia.";;Nu.
"17 Sep 2011  08:51:53";24;"Controlul durerii este un lucru bun si important in asistenta pacientului terminal?";;"da, este esential."
"17 Sep 2011  08:51:53";25;"Unde ar fi mai potrivit sa fie ingrijit un pacient aflat in stare terminala";"Acasa, de catre echipa de ingrijiri paliative";
"17 Sep 2011  08:51:53";26;"Cine trebuie sa decida renuntarea la tratamentul curativ si trecerea la ingrijirile paliative in cazul unuipacient in stare terminala, competent decizional?";Medicul;
"17 Sep 2011  08:51:53";27;"Care tip de ingrijire este cel mai indicat, in opinia dvs., pentru un pacient aflat in stare terminala?";;"Tratamentul paleativ"
"17 Sep 2011  08:51:53";28;"Directiva in avans ar fi un instrument util in practica medicala? Va rugam sa motivati raspunsul.";"Nu stiu ce presupune directiva in avans";
"17 Sep 2011  08:51:53";29;"Cine considerati ca trebuie sa decida asupra tratamentului si ingrijirilor unui pacient aflat in stare terminala, competent decizional?";Medicul;
"17 Sep 2011  08:51:53";30;"Cine considerati ca trebuie sa decida asupra tratamentului si ingrijirilor unui pacient aflat in stare terminala, incompetent decizional?";Medicul;
"17 Sep 2011  08:51:53";31;"Credeti ca societatea romaneasca ar accepta introducerea directivei in avans?";"Nu stiu";
"17 Sep 2011  08:51:53";32;"Ce informatii considerati ca ar trebui sa cuprinda directiva in avans?";;"nu stiu"
"17 Sep 2011  08:51:53";33;"Este pacientul terminal o povara psihologica pentru medic? Va rugam sa motivati raspunsul.";"Nu stiu";
"17 Sep 2011  08:51:53";34;"Daca ati avea o ruda apropiata diagnosticata intr-un stadiu avansat de cancer, care ar fi atitudinea dvs.?";"As insista sa se continue tratamentul";
"17 Sep 2011  08:51:53";35;"In final, va rugam sa ne oferiti sugestiile dumneavoastra in legatura cu necesitatea derularii unor studii/cercetari legate de pacientii aflati in stadiul terminal.";;"nu stiu"
"17 Sep 2011  08:51:53";36;Varsta;"35-45 ani";
"17 Sep 2011  08:51:53";37;Genul;F;
"17 Sep 2011  08:51:53";38;"Care este localitatea dvs. de resedinta si practica medicala?";;"Slatina, jud. Olt"
"17 Sep 2011  08:51:53";39;"Care este apartenenta dvs. religioasa?";;Ortodoxa
"17 Sep 2011  08:51:53";40;"Care este specialitatea dvs.?";;"Radiologie-imagistica medicala"
"17 Sep 2011  08:51:53";41;"Ce cursuri postuniversitare ati absolvit?";;"specializare radiologie-imagistica medicala"
"17 Sep 2011  08:51:53";42;"Ce supraspecializari/competente aveti?";;"CT, RMN"
"17 Sep 2011  08:51:53";43;"Cati ani vechime in profesie aveti?";"2-5 ani";
"30 Sep 2011  14:26:42";1;"Considerati ca diagnosticul bolii oncologice si iminenta mortii bolnavului sunt subiecte evitate in societatea romaneasca actuala? ";"In majoritatea cazurilor";
"30 Sep 2011  14:26:42";2;"Cui ati comunica un astfel de diagnostic?";Familiei;
"30 Sep 2011  14:26:42";3;"Ati evitat sa comunicati diagnosticul de boala oncologica si/sau moarte iminenta pacientului? Daca da, in ce circumstante?";Intotdeauna;"Nu lucrez cu pacienti terminali. Pentru o mare parte din intrebari prefer sa nu raspund, deoarece consider ca nu am competenta necesara."
"30 Sep 2011  14:26:42";4;"Care credeti ca sunt trasaturile esentiale care definesc demnitatea unui pacient?";;"Prefer sa nu raspund, deoarece consider ca nu am competenta necesara."
"30 Sep 2011  14:26:42";5;"Cum reactioneaza pacientii la aflarea diagnosticului si/sau prognosticului de stare terminala?";;"Prefer sa nu raspund, deoarece consider ca nu am competenta necesara."
"30 Sep 2011  14:26:42";6;"Cum reactioneaza membrii familiilor pacientilor carora li se comunica un diagnostic si/sau prognostic de stare terminala?";;"Prefer sa nu raspund, deoarece consider ca nu am competenta necesara."
"30 Sep 2011  14:26:42";7;"Cum face fata grupul familial, atunci cand unul din membrii lui are nevoie de ingrijire continua in faza terminala a bolii oncologice?";;"Prefer sa nu raspund, deoarece consider ca nu am competenta necesara."
"30 Sep 2011  14:26:42";8;"Considerati ca pacientului trebuie sa i se comunice toate detaliile legate de diagnosticul si prognosticul bolii sale? Va rugam sa motivati raspunsul.";Nu;
"30 Sep 2011  14:26:42";9;"Ce tratamente ati aplica unui pacient aflat in stare terminala?";"Tratament paliativ pentru controlul simptomelor(durere, dispnee, anxietate, etc.)";
"30 Sep 2011  14:26:42";10;"Care sunt diferentele dintre un pacient aflat in stare terminala si unul cu posibilitati terapeutice?";;"Prefer sa nu raspund, deoarece consider ca nu am competenta necesara."
"30 Sep 2011  14:26:42";11;"Posibilitatea de evolutie nefavorabila, uneori spre deces, a afectiunilor oncologice contribuie la pregatirea bolnavului suferind si a apartinatorilor acestuia pentru sfarsitul inevitabil? Va rugam sa motivati raspunsul.";Da;
"30 Sep 2011  14:26:42";12;"Care sunt cele mai suparatoare simptome cu care se confrunta un pacient aflat in stare terminala? Enumerati minim 5 in ordinea crescatoare a intesitatii pe care le-o atribuiti.";;"Durerea, incapacitatea fizica, anxietatea (teama de moarte), sentimentul de neajutorare, regret
"
"30 Sep 2011  14:26:42";13;"Care credeti ca sunt cei mai importanti 5 factori care influenteaza demnitatea unui pacient aflat in stare terminala, in ordinea crescatoare a importantei pe care le-o acordati?";;"Prefer sa nu raspund, deoarece consider ca nu am competenta necesara."
"30 Sep 2011  14:26:42";14;"Credinta religioasa contribuie la confortul psihic al bolnavilor?";Da;
"30 Sep 2011  14:26:42";15;"Prezenta serviciilor paliative in Romania de aproape de 20 de ani se reflecta in cunoasterea acestor servicii de catre populatie?";"Nu stiu";
"30 Sep 2011  14:26:42";16;"Ce inseamna pentru dvs. paliatia/medicina paliativa?";;"Prefer sa nu raspund, deoarece consider ca nu am competenta necesara."
"30 Sep 2011  14:26:42";17;"Care sunt specialistii de care ar avea nevoie un pacient aflat in stare terminala pentru a primi cele mai potrivite ingrijiri?";;"Medic, Psiholog, Asistenta Religioasa, Nutritonist"
"30 Sep 2011  14:26:42";18;"Ati avut in ingrijire pacienti aflati in stare terminala?";Niciodata;
"30 Sep 2011  14:26:42";19;"Enumerati minim 5 probleme cu care credeti ca se confrunta pacientul aflat in stare terminala in ordinea crescatoare a frecventei sau importantei acestora?";;"Prefer sa nu raspund, deoarece consider ca nu am competenta necesara."
"30 Sep 2011  14:26:42";20;"Care sunt cele mai frecvente greseli pe care le face un medic in abordarea pacientul aflat in stare terminala?";;"Prefer sa nu raspund, deoarece consider ca nu am competenta necesara."
"30 Sep 2011  14:26:42";21;"Considerati ca exista diferente intre starea terminala si faza terminala? Daca  da, care sunt acestea?";;"Prefer sa nu raspund, deoarece consider ca nu am competenta necesara."
"30 Sep 2011  14:26:42";22;"Considerati ca medicul poate respecta nevoile pacientului aflat in stare terminala in contextul actual? Mentionati punctele tari si punctele slabe ale activitatii sale.";;"Prefer sa nu raspund, deoarece consider ca nu am competenta necesara."
"30 Sep 2011  14:26:42";23;"Considerati ca sistemul de sanatate din Romania poate respecta nevoile pacientului aflat in stare terminala in contextul actual? Mentionati punctele tari si punctele slabe ale acestuia.";;"Prefer sa nu raspund, deoarece consider ca nu am competenta necesara."
"30 Sep 2011  14:26:42";24;"Controlul durerii este un lucru bun si important in asistenta pacientului terminal?";;Da
"30 Sep 2011  14:26:42";25;"Unde ar fi mai potrivit sa fie ingrijit un pacient aflat in stare terminala";"Unde hotaraste pacientul";
"30 Sep 2011  14:26:42";26;"Cine trebuie sa decida renuntarea la tratamentul curativ si trecerea la ingrijirile paliative in cazul unuipacient in stare terminala, competent decizional?";Pacientul;
"30 Sep 2011  14:26:42";27;"Care tip de ingrijire este cel mai indicat, in opinia dvs., pentru un pacient aflat in stare terminala?";;"Prefer sa nu raspund, deoarece consider ca nu am competenta necesara."
"30 Sep 2011  14:26:42";28;"Directiva in avans ar fi un instrument util in practica medicala? Va rugam sa motivati raspunsul.";"Nu stiu ce presupune directiva in avans";
"30 Sep 2011  14:26:42";29;"Cine considerati ca trebuie sa decida asupra tratamentului si ingrijirilor unui pacient aflat in stare terminala, competent decizional?";Pacientul;
"30 Sep 2011  14:26:42";30;"Cine considerati ca trebuie sa decida asupra tratamentului si ingrijirilor unui pacient aflat in stare terminala, incompetent decizional?";Medicul;
"30 Sep 2011  14:26:42";31;"Credeti ca societatea romaneasca ar accepta introducerea directivei in avans?";"Nu stiu";
"30 Sep 2011  14:26:42";32;"Ce informatii considerati ca ar trebui sa cuprinda directiva in avans?";;"Prefer sa nu raspund, deoarece consider ca nu am competenta necesara."
"30 Sep 2011  14:26:42";33;"Este pacientul terminal o povara psihologica pentru medic? Va rugam sa motivati raspunsul.";"Nu stiu";
